,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
0,Emiliano Martínez,0,0,,,120.0,187.0,64.2,0.0,0.0,0,0.0,0,0.0,4.0,0.0,196.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,GK,29.0,1.eng Aston Villa,7,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Argentina
1,Lionel Messi,27,13,0.11,0.23,300.0,371.0,80.9,5.0,0.0,3,2.0,0,5.0,0.0,0.0,462.0,15.0,34.0,44.1,10,22,3,20,0,3,1.0,0.0,0,2.0,7.0,FW,34.0,1.fr Paris S-G,7,7,690.0,7.7,7.0,0.91,3.0,0.39,3.0,0.39,4.0,1.0,0.0,Argentina
2,Nicolás Otamendi,1,0,0.0,,532.0,577.0,92.2,10.0,5.0,6,6.0,9,19.0,24.0,0.0,641.0,0.0,0.0,,13,5,1,0,9,6,0.0,1.0,0,21.0,13.0,DF,34.0,1.pt Benfica,7,7,690.0,7.7,0.0,0.0,1.0,0.13,0.0,0.0,0.0,2.0,0.0,Argentina
3,Rodrigo De Paul,7,3,0.0,0.0,470.0,562.0,83.6,11.0,8.0,6,8.0,7,18.0,3.0,0.0,626.0,1.0,10.0,10.0,7,15,0,12,7,6,0.0,0.0,0,2.0,3.0,MF,28.0,1.es Atlético Madrid,7,7,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
4,Nahuel Molina,2,1,0.5,1.0,291.0,358.0,81.3,8.0,4.0,4,7.0,3,11.0,11.0,0.0,405.0,1.0,2.0,50.0,3,0,1,6,3,4,0.0,0.0,0,0.0,6.0,DF,24.0,1.es Atlético Madrid,7,6,567.0,6.3,1.0,0.16,1.0,0.16,1.0,0.16,0.0,0.0,0.0,Argentina
5,Alexis Mac Allister,7,4,0.14,0.25,234.0,265.0,88.3,9.0,4.0,4,13.0,3,12.0,6.0,0.0,332.0,4.0,9.0,44.4,1,13,0,1,3,4,0.0,0.0,0,5.0,13.0,MF,23.0,1.eng Brighton,6,6,550.0,6.1,1.0,0.16,1.0,0.16,1.0,0.16,0.0,0.0,0.0,Argentina
6,Cristian Romero,0,0,,,337.0,375.0,89.9,5.0,4.0,3,6.0,4,9.0,26.0,0.0,425.0,1.0,1.0,100.0,12,3,0,0,4,3,0.0,0.0,0,12.0,8.0,DF,24.0,1.eng Tottenham,7,6,547.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Argentina
7,Enzo Fernández,8,3,0.13,0.33,412.0,471.0,87.5,22.0,13.0,15,7.0,3,25.0,7.0,0.0,535.0,3.0,6.0,50.0,7,6,0,2,3,15,0.0,0.0,1,9.0,3.0,MF,21.0,1.pt Benfica,7,5,564.0,6.3,1.0,0.16,1.0,0.16,1.0,0.16,0.0,1.0,0.0,Argentina
8,Julián Álvarez,11,8,0.36,0.5,93.0,121.0,76.9,4.0,0.0,2,8.0,0,4.0,3.0,0.0,176.0,0.0,4.0,0.0,13,2,5,3,0,2,1.0,0.0,0,2.0,9.0,FW,22.0,1.eng Manchester City,7,5,464.0,5.2,4.0,0.78,0.0,0.0,4.0,0.78,0.0,0.0,0.0,Argentina
9,Marcos Acuña,2,0,0.0,,167.0,217.0,77.0,12.0,6.0,8,8.0,2,14.0,9.0,0.0,271.0,2.0,8.0,25.0,9,9,0,17,2,8,1.0,0.0,0,5.0,7.0,"DF,FW",30.0,1.es Sevilla,6,4,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Argentina
