,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
0,Emiliano Martinez,7,7,690,0,0,0,0,0,0,1,0,120.0,187.0,64.2,0.0,0,0.0,0,4.0,196.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,2.0,0.0,GK,29,England,Aston Villa,Argentina
1,Lionel Messi,7,7,690,7,3,27,13,3,4,1,0,300.0,371.0,80.9,5.0,3,2.0,0,0.0,462.0,15.0,34.0,44.1,10,22,3,20,1.0,0.0,0,2.0,7.0,FW,34,France,Paris SG,Argentina
2,Nicolas Otamendi,7,7,690,0,1,1,0,0,0,2,0,532.0,577.0,92.2,10.0,6,6.0,9,24.0,641.0,0.0,0.0,0.0,13,5,1,0,0.0,1.0,0,21.0,13.0,DF,34,Portugal,Benfica,Argentina
3,Rodrigo De Paul,7,7,599,0,0,7,3,0,0,0,0,470.0,562.0,83.6,11.0,6,8.0,7,3.0,626.0,1.0,10.0,10.0,7,15,0,12,0.0,0.0,0,2.0,3.0,MF,28,Spain,Atlatico Madrid,Argentina
4,Nahuel Molina,7,6,567,1,1,2,1,1,0,0,0,291.0,358.0,81.3,8.0,4,7.0,3,11.0,405.0,1.0,2.0,50.0,3,0,1,6,0.0,0.0,0,0.0,6.0,DF,24,Spain,Atlatico Madrid,Argentina
5,Alexis Mac Allister,6,6,550,1,1,7,4,1,0,0,0,234.0,265.0,88.3,9.0,4,13.0,3,6.0,332.0,4.0,9.0,44.4,1,13,0,1,0.0,0.0,0,5.0,13.0,MF,23,England,Brighton,Argentina
6,Cristian Romero,7,6,547,0,0,0,0,0,0,2,0,337.0,375.0,89.9,5.0,3,6.0,4,26.0,425.0,1.0,1.0,100.0,12,3,0,0,0.0,0.0,0,12.0,8.0,DF,24,England,Tottenham,Argentina
7,Enzo Ferandez,7,5,564,1,1,8,3,1,0,1,0,412.0,471.0,87.5,22.0,15,7.0,3,7.0,535.0,3.0,6.0,50.0,7,6,0,2,0.0,0.0,1,9.0,3.0,MF,21,Portugal,Benfica,Argentina
8,Julian Alvarez,7,5,464,4,0,11,8,4,0,0,0,93.0,121.0,76.9,4.0,2,8.0,0,3.0,176.0,0.0,4.0,0.0,13,2,5,3,1.0,0.0,0,2.0,9.0,FW,22,England,Manchester City,Argentina
9,Marcos Acuna,6,4,373,0,0,2,0,0,0,3,0,167.0,217.0,77.0,12.0,8,8.0,2,9.0,271.0,2.0,8.0,25.0,9,9,0,17,1.0,0.0,0,5.0,7.0,DF,30,Spain,Sevilla,Argentina
10,Angel Di Maria,5,4,288,1,1,6,3,1,0,0,0,129.0,167.0,77.2,3.0,1,3.0,1,0.0,203.0,13.0,28.0,46.4,0,7,5,27,1.0,0.0,0,0.0,1.0,FW,34,Italy,Juventus,Argentina
11,Nicolas Tagliafico,6,3,373,0,0,3,1,0,0,0,0,146.0,179.0,81.6,7.0,7,9.0,9,9.0,220.0,0.0,2.0,0.0,6,6,1,1,0.0,0.0,0,4.0,1.0,DF,29,France,Lyon,Argentina
12,Lisandro Martinez,5,2,303,0,0,1,0,0,0,1,0,133.0,156.0,85.3,6.0,2,3.0,3,14.0,188.0,0.0,1.0,0.0,2,3,0,1,0.0,0.0,0,3.0,3.0,DF,24,England,Manchester Utd,Argentina
13,Lautaro Martinez,6,2,241,0,0,14,4,0,0,0,0,47.0,63.0,74.6,0.0,0,1.0,1,0.0,99.0,2.0,5.0,40.0,1,5,5,0,0.0,0.0,0,6.0,6.0,FW,24,Italy,Inter,Argentina
