Player,Pos,Age,Match_Played,Starts,Minutes_Played,shots_on_targets_against,Saves,Save %,Win,Draw,Loss,Clean_Sheet,Clean_Sheet %
Emiliano Martinez,GK,29,7,7,690,13,6,53.8,4,2,1,3,42.9
Hugo Lloris,GK,35,6,6,570,24,17,83.3,5,1,0,1,16.7
Steve Mandanda,GK,37,1,1,90,3,2,66.7,0,0,1,0,0
Dominik Livakovict,GK,27,7,7,690,31,24,80.6,2,4,1,2,28.6
Yassine Bounou,GK,31,6,6,570,11,7,54.5,2,2,2,3,50
Munir,GK,33,1,1,90,3,3,100,1,0,0,1,100
Andries Noppert,GK,28,5,5,480,22,18,86.4,3,2,0,2,40
Jordan Pickford,GK,28,5,5,450,11,7,72.7,3,1,1,3,60
Alisson,GK,29,4,4,379,7,5,71.4,3,1,0,2,50
Ederson,GK,28,1,1,90,3,2,66.7,0,0,1,0,0
Weverton,GK,34,1,0,11,0,0,0,0,0,0,0,
Diogo Costa,GK,22,5,5,450,17,11,64.7,3,0,2,1,20
Shaichi Gonda,GK,33,4,4,390,19,15,84.2,2,1,1,0,0
Edouard Mendy,GK,30,4,4,360,14,7,50,2,0,2,0,0
Mathew Ryan,GK,30,4,4,360,18,12,66.7,2,0,2,2,50
Yann Sommer,GK,33,3,3,270,19,12,63.2,1,0,2,1,33.3
Gregor Kobel,GK,24,1,1,90,4,2,50,1,0,0,0,0
Unai Siman,GK,25,4,4,390,9,6,66.7,1,2,1,2,50
Matt Turner,GK,27,4,4,360,12,8,75,1,2,1,2,50
Wojciech Szczęsny,GK,32,4,4,360,28,21,82.1,1,1,2,2,50
Kim Seung-gyu,GK,31,4,4,360,19,11,63.2,1,1,2,1,25
Manuel Neuer,GK,36,3,3,270,13,8,61.5,1,1,1,0,0
Herna¡n Galandez,GK,35,3,3,270,4,1,50,1,1,1,1,33.3
Devis Epassy,GK,29,2,2,180,12,9,75,1,1,0,1,50
Andre Onana,GK,26,1,1,80,3,2,66.7,0,0,1,0,0
Sergio Rochet,GK,29,3,3,270,7,4,85.7,1,1,1,2,66.7
Aimen Dahmen,GK,25,3,3,270,10,9,90,1,1,1,2,66.7
Guillermo Ochoa,GK,36,3,3,270,6,2,50,1,1,1,1,33.3
Thibaut Courtois,GK,30,3,3,270,11,8,81.8,1,1,1,2,66.7
Lawrence Ati-Zigi,GK,25,3,3,270,17,10,64.7,1,0,2,0,0
Mohammed Al-Owais,GK,30,3,3,270,19,14,78.9,1,0,2,0,0
Alireza Beiranvand,GK,29,2,2,109,5,4,80,0,0,2,0,0
Hossein Hosseini,GK,29,2,1,161,10,4,40,1,0,0,1,100
Keylor Navas,GK,35,3,3,270,22,11,54.5,1,0,2,1,33.3
Kasper Schmeichel,GK,35,3,3,270,11,8,72.7,0,1,2,1,33.3
Vanja Milinković - Savić,GK,25,3,3,270,24,16,66.7,0,1,2,0,0
Wayne Hennessey,GK,35,2,2,175,5,4,80,0,1,1,0,0
Danny Ward,GK,28,2,1,94,9,4,44.4,0,0,1,0,0
Milan Borjan,GK,34,3,3,270,15,8,53.3,0,0,3,0,0
Meshaal Barsham,GK,24,2,2,180,9,4,44.4,0,0,2,0,0
Saad Al Sheeb,GK,32,1,1,90,3,1,66.7,0,0,1,0,0
